                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.5212,                  5.119,                0.17279,                      1,              0.0009934
                      1,                 1.3953,                 1.5626,                0.46667,                      1,              0.0009868
                      2,                 1.2811,                  1.428,                 0.5034,                      1,              0.0009802
                      3,                  1.235,                 1.3061,                0.52517,                      1,              0.0009736
                      4,                 1.2232,                 1.2376,                0.59592,                      1,               0.000967
                      5,                 1.1831,                 1.2307,                0.57007,                      1,              0.0009604
                      6,                 1.1861,                  1.245,                0.54966,                      1,              0.0009538
                      7,                 1.1696,                 1.1074,                0.65034,                      1,              0.0009472
                      8,                 1.1393,                 1.1224,                 0.6381,                      1,              0.0009406
                      9,                 1.1141,                 1.2786,                 0.5415,                      1,               0.000934
                     10,                 1.1171,                 1.1654,                0.63129,                      1,              0.0009274
                     11,                 1.1247,                 1.0981,                0.63401,                      1,              0.0009208
                     12,                 1.1158,                  1.137,                0.63129,                      1,              0.0009142
                     13,                 1.0815,                 1.0663,                 0.6898,                      1,              0.0009076
                     14,                 1.0553,                  1.041,                0.67075,                      1,               0.000901
                     15,                 1.0873,                 1.1617,                0.63537,                      1,              0.0008944
                     16,                 1.0685,                 1.0173,                0.67211,                      1,              0.0008878
                     17,                 1.0392,                  1.042,                0.66531,                      1,              0.0008812
                     18,                  1.043,                 1.1772,                0.62449,                      1,              0.0008746
                     19,                 1.0437,                0.98183,                0.70884,                      1,               0.000868
                     20,                 1.0433,                 1.0351,                0.68027,                      1,              0.0008614
                     21,                 1.0441,                 1.1218,                0.65306,                      1,              0.0008548
                     22,                  1.019,                 1.1088,                0.63129,                      1,              0.0008482
                     23,                 1.0387,                 1.0017,                0.68707,                      1,              0.0008416
                     24,                 1.0166,                 1.1627,                0.59456,                      1,               0.000835
                     25,                   1.02,                 1.1067,                0.64082,                      1,              0.0008284
                     26,                 1.0315,                  1.043,                0.65986,                      1,              0.0008218
                     27,                 1.0106,                0.98149,                0.70612,                      1,              0.0008152
                     28,                 0.9854,                 1.2734,                0.61088,                      1,              0.0008086
                     29,                0.99236,                0.96852,                0.71293,                      1,               0.000802
                     30,                0.99304,                0.99974,                0.69252,                      1,              0.0007954
                     31,                0.98263,                0.95659,                0.71156,                      1,              0.0007888
                     32,                0.99291,                0.96855,                0.71565,                      1,              0.0007822
                     33,                0.95995,                  0.985,                 0.7034,                      1,              0.0007756
                     34,                0.96267,                0.94774,                0.73061,                      1,               0.000769
                     35,                0.97409,                 1.0288,                0.67075,                      1,              0.0007624
                     36,                0.95387,                 1.1177,                0.64354,                      1,              0.0007558
                     37,                0.95368,                 1.0424,                0.68844,                      1,              0.0007492
                     38,                0.93718,                0.97621,                0.72109,                      1,              0.0007426
                     39,                0.97444,                0.97048,                0.68571,                      1,               0.000736
                     40,                0.95928,                0.97358,                0.70204,                      1,              0.0007294
                     41,                0.93795,                0.94965,                0.72653,                      1,              0.0007228
                     42,                0.94571,                 1.0191,                0.69932,                      1,              0.0007162
                     43,                0.93055,                0.98829,                0.71701,                      1,              0.0007096
                     44,                0.91979,                 0.9638,                0.72517,                      1,               0.000703
                     45,                 0.9209,                0.96376,                0.71293,                      1,              0.0006964
                     46,                0.97321,                0.94632,                0.73605,                      1,              0.0006898
                     47,                0.91747,                0.95191,                0.72925,                      1,              0.0006832
                     48,                0.91683,                 1.0107,                0.69796,                      1,              0.0006766
